"name","bio"
"Chris Duffin","Chris Duffin is a strength athlete, coach, and engineer, setting multiple strength world records including squatting and deadlifting 1000 lbs for multiple reps"
"Jason Calacanis","Jason Calacanis is an angel investor, entrepreneur, and co-host of All-In Podcast and This Week in Startups"
"David Fravor","David Fravor is a navy pilot of 18 years and a primary witness in one of the most credible UFO sightings in history"
"Sebastian Thrun",""
"Cristos Goodrow","Cristos Goodrow is VP of Engineering at Google and head of Search and Discovery at YouTube (aka YouTube Algorithm)"
"Ryan Hall","Ryan Hall is a martial artist, BJJ black belt, and MMA fighter undefeated in the UFC"
"Elon Musk",""
"Michael Malice","Michael Malice is a political thinker, podcaster, and author"
"Cal Newport","Cal Newport is a computer scientist who also writes about productivity"
"Jeff Atwood",""
"Josh Barnett","Josh Barnett is an MMA fighter, catch wrestler, and a scholar of violence"
"Anca Dragan","Anca Dragan is a professor at Berkeley, working on human-robot interaction -- algorithms that look beyond the robot's function in isolation, and generate robot behavior that accounts for interaction and coordination with human beings"
"Michael Kearns",""
"Wojciech Zaremba","Wojciech Zaremba is a co-founder of OpenAI"
"Vladimir Vapnik",""
"Dava Newman",""
"Jordan Ellenberg","Jordan Ellenberg is a mathematician and author of Shape and How Not to Be Wrong"
"Ryan Schiller","Ryan Schiller is the creator of Librex, an anonymous discussion feed for college communities"
"Vijay Kumar",""
"Max Tegmark","Max Tegmark is a physicist and AI researcher at MIT"
"David Silver","David Silver leads the reinforcement learning research group at DeepMind and was lead researcher on AlphaGo, AlphaZero and co-lead on AlphaStar, and MuZero and lot of important work in reinforcement learning"
"Karl Friston","Karl Friston is one of the greatest neuroscientists in history, cited over 245,000 times, known for many influential ideas in brain imaging, neuroscience, and theoretical neurobiology, including the fascinating idea of the free-energy principle for action and perception"
"Ilya Sutskever","Ilya Sutskever is the co-founder of OpenAI, is one of the most cited computer scientist in history with over 165,000 citations, and to me, is one of the most brilliant and insightful minds ever in the field of deep learning"
"Oriol Vinyals",""
"Manolis Kellis","Manolis Kellis is a computational biologist at MIT"
"Richard Dawkins","Richard Dawkins is an evolutionary biologist, and author of The Selfish Gene, The Blind Watchmaker, The God Delusion, The Magic of Reality, The Greatest Show on Earth, and his latest Outgrowing God"
"Grant Sanderson","Grant Sanderson is the creator of 3Blue1Brown"
"David Patterson","David Patterson is a Turing award winner and professor of computer science at Berkeley"
"Saagar Enjeti","Saagar Enjeti is a DC-based political correspondent and podcaster"
"Juergen Schmidhuber",""
"Steven Pressfield","Steven Pressfield is a historian and author of War of Art, a book that had a big impact on my life and the life of millions of whose passion is to create in art, science, business, sport, and everywhere else"
"Sean Kelly","Sean Kelly is a philosopher at Harvard specializing in existentialism and the philosophy of mind"
"Sergey Levine","Sergey Levine is a professor at Berkeley and a world-class researcher in deep learning, reinforcement learning, robotics, and computer vision, including the development of algorithms for end-to-end training of neural network policies that combine perception and control, scalable algorithms for inverse reinforcement learning, and deep RL algorithms"
"Jeff Hawkins","Jeff Hawkins is a neuroscientist and cofounder of Numenta, a neuroscience research company"
"Bret Weinstein","Bret Weinstein is and evolutionary biologist, author, and co-host of the DarkHorse Podcast"
"Lisa Feldman Barrett","Lisa Feldman Barrett is a neuroscientist, psychologist, and author"
"Jaron Lanier","Jaron Lanier is a computer scientist, composer, artist, author, and founder of the field of virtual reality"
"Daphne Koller","Daphne Koller is a professor of computer science at Stanford University, a co-founder of Coursera with Andrew Ng and Founder and CEO of insitro, a company at the intersection of machine learning and biomedicine"
"Colin Angle",""
"Peter Singer","Peter Singer is a professor of bioethics at Princeton, best known for his 1975 book Animal Liberation, that makes an ethical case against eating meat"
"Eric Weinstein","Eric Weinstein is a mathematical physicist and podcaster"
"David Eagleman","David Eagleman is a neuroscientist at Stanford"
"Donald Knuth","Donald Knuth is a computer scientist, Turing Award winner, father of algorithm analysis, author of The Art of Computer Programming, and creator of TeX"
"David Chalmers","David Chalmers is a philosopher and cognitive scientist specializing in philosophy of mind, philosophy of language, and consciousness"
"Joscha Bach","Joscha Bach is a cognitive scientist, AI researcher, and philosopher"
"Anya Fernald","Anya Fernald is the co-founder of Belcampo farms, chef, and regenerative agriculture expert"
"Bryan Johnson","Bryan Johnson is the founder and CEO of Kernel, OS Fund, and previously Braintree"
"Sara Seager","Sara Seager is a planetary scientist at MIT, known for her work on the search for exoplanets"
"Anthony Pompliano","Anthony Pompliano is an entrepreneur, investor, writer, and podcaster on topics of decentralized finance"
"Clara Sousa","Clara Sousa-Silva is a quantum astrochemist at Harvard"
"Ronald Sullivan","Ronald Sullivan is a law professor at Harvard and previously a lawyer for Harvey Weinstein and Aaron Hernandez"
"Grant Sanderson",""
"Lex Fridman","Please support this podcast by checking out our sponsors:
- Brooklinen: https://brooklinen"
"Greg Brockman",""
"Tyler Cowen","Tyler Cowen is an economist, writer, and podcaster"
"Georges St","Georges St-Pierre is a martial artist"
"Dawn Song","Dawn Song is a professor of computer science at UC Berkeley with research interests in security, most recently with a focus on the intersection between computer security and machine learning"
"Whitney Cummings",""
"Vincent Racaniello","Vincent Racaniello is a virologist, immunologist, and microbiologist at Columbia"
"Stephen Schwarzman","Stephen Schwarzman is the CEO and Co-Founder of Blackstone, one of the world's leading investment firms with over 530 billion dollars of assets under management"
"Frank Wilczek","Frank Wilczek is a Nobel Prize winning physicist at MIT"
"Lee Smolin","Lee Smolin is a theoretical physicist, co-inventor of loop quantum gravity, and a contributor of many interesting ideas to cosmology, quantum field theory, the foundations of quantum mechanics, theoretical biology, and the philosophy of science"
"Paul Krugman","Paul Krugman is a Nobel Prize winner in economics, professor at CUNY, and columnist at the New York Times"
"Kyle Vogt",""
"Roger Penrose","Roger Penrose is physicist, mathematician, and philosopher at University of Oxford"
"Gustav Soderstrom",""
"Jo Boaler","Jo Boaler is a professor of mathematics education at Stanford and the co-founder of youcubed"
"Michael Malice","Michael Malice is a political thinker, podcaster, and author"
"Jeremy Howard",""
"Travis Oliphant","Travis Oliphant is a data scientist, entrepreneur, and creator of NumPy, SciPy, and Anaconda"
"Stephen Kotkin",""
"Russ Tedrake","Russ Tedrake is a roboticist and professor at MIT and vice president of robotics research at TRI"
"Donald Knuth",""
"Alexander Fridman","Alexander Fridman is a professor at Drexel University and the director of the Nyheim Plasma Institute"
"Brian Kernighan","Brian Kernighan is a professor of computer science at Princeton University"
"Diana Walsh Pasulka","Diana Walsh Pasulka is a professor of philosophy and religion at UNCW and author of American Cosmic: UFOs, Religion, and Technology"
"Brian Muraresku","Brian Muraresku is the author of The Immortality Key"
"John Hopfield","John Hopfield is professor at Princeton, whose life's work weaved beautifully through biology, chemistry, neuroscience, and physics"
"George Hotz",""
"RZA","RZA is a rapper, record producer, filmmaker, actor, writer, philosopher, and the mastermind of the legendary hip hop group Wu-Tang Clan"
"Dmitri Dolgov","Dmitri Dolgov is the CTO of Waymo, an autonomous vehicle company"
"Eric Schmidt",""
"Michael Malice","Michael Malice is a political thinker, podcaster, and author"
"Eric Weinstein","Eric Weinstein is a mathematician with a bold and piercing intelligence, unafraid to explore the biggest questions in the universe and shine a light on the darkest corners of our society"
"Scott Aaronson","Scott Aaronson is a professor at UT Austin, director of its Quantum Information Center, and previously a professor at MIT"
"Barry Barish","Barry Barish is a theoretical physicist at Caltech and the winner of the Nobel Prize in Physics"
"Jim Gates",""
"Jay McClelland","Jay McClelland is a cognitive scientist at Stanford"
