"titles","ratings","lengths","views"
"Chris Duffin_ The Mad Scientist of Strength _ Lex Fridman Podcast _207","4.895561","9777","173399"
"Jason Calacanis_ Startups_ Angel Investing_ Capitalism_ and Friendship _ Lex Fridman Podcast _161","4.838706","7870","246100"
"David Fravor_ UFOs_ Aliens_ Fighter Jets_ and Aerospace Engineering _ Lex Fridman Podcast _122","4.767675","14184","4881542"
"Sebastian Thrun_ Flying Cars_ Autonomous Vehicles_ and Education _ Lex Fridman Podcast _59","4.9194508","4714","60562"
"Cristos Goodrow_ YouTube Algorithm _ Lex Fridman Podcast _68","4.8325934","5452","43164"
"Ryan Hall_ Solving Martial Arts from First Principles _ Lex Fridman Podcast _169","4.88722","10408","183823"
"Elon Musk_ Neuralink_ AI_ Autopilot_ and the Pale Blue Dot _ Lex Fridman Podcast _49","4.912076","2170","1899941"
"Michael Malice_ Anarchy_ Democracy_ Libertarianism_ Love_ and Trolling _ Lex Fridman Podcast _128","4.7826195","12031","828777"
"Cal Newport_ Deep Work_ Focus_ Productivity_ Email_ and Social Media _ Lex Fridman Podcast _166","4.9136357","10985","365153"
"Jeff Atwood_ Stack Overflow and Coding Horror _ Lex Fridman Podcast _7","4.9519315","4809","36352"
"Josh Barnett_ Philosophy of Violence_ Power_ and the Martial Arts _ Lex Fridman _165","4.884767","7916","179537"
"Anca Dragan_ Human_Robot Interaction and Reward Engineering _ Lex Fridman Podcast _81","4.9170866","5913","51494"
"Michael Kearns_ Algorithmic Fairness_ Privacy _ Ethics _ Lex Fridman Podcast _50","4.873776","6535","32083"
"Wojciech Zaremba_ OpenAI Codex_ GPT_3_ Robotics_ and the Future of AI _ Lex Fridman Podcast _215","4.898847","10293","95571"
"Vladimir Vapnik_ Statistical Learning _ Lex Fridman Podcast _5","4.977918","3242","43497"
"Dava Newman_ Space Exploration_ Space Suits_ and Life on Mars _ Lex Fridman Podcast _51","4.8958335","2372","42771"
"Jordan Ellenberg_ Mathematics of High_Dimensional Shapes and Geometries _ Lex Fridman Podcast _190","4.9195213","9707","150925"
"Ryan Schiller_ Librex and the Free Exchange of Ideas on College Campuses _ Lex Fridman Podcast _172","4.8469634","8801","67492"
"Vijay Kumar_ Flying Robots _ Lex Fridman Podcast _37","4.9469495","3407","36042"
"Max Tegmark_ AI and Physics _ Lex Fridman Podcast _155","4.8562837","10963","743631"
"David Silver_ AlphaGo_ AlphaZero_ and Deep Reinforcement Learning _ Lex Fridman Podcast _86","4.937863","6481","249529"
"Karl Friston_ Neuroscience and the Free Energy Principle _ Lex Fridman Podcast _99","4.9367743","5341","93825"
"Ilya Sutskever_ Deep Learning _ Lex Fridman Podcast _94","4.945406","5848","132586"
"Oriol Vinyals_ DeepMind AlphaStar_ StarCraft_ and Language _ Lex Fridman Podcast _20","4.932773","6361","50908"
"Manolis Kellis_ Biology of Disease _ Lex Fridman Podcast _133","4.9245768","9298","113752"
"Richard Dawkins_ Evolution_ Intelligence_ Simulation_ and Memes _ Lex Fridman Podcast _87","4.8638744","4040","807161"
"Grant Sanderson_ Math_ Manim_ Neural Networks _ Teaching with 3Blue1Brown _ Lex Fridman Podcast _118","4.953914","7705","185791"
"David Patterson_ Computer Architecture and Data Storage _ Lex Fridman Podcast _104","4.9504466","6591","99946"
"Saagar Enjeti_ Politics_ History_ and Power _ Lex Fridman Podcast _167","4.771257","11343","663848"
"Juergen Schmidhuber_ Godel Machines_ Meta_Learning_ and LSTMs _ Lex Fridman Podcast _11","4.928627","4798","88886"
"Steven Pressfield_ The War of Art _ Lex Fridman Podcast _102","4.764471","5249","60420"
"Sean Kelly_ Existentialism_ Nihilism_ and the Search for Meaning _ Lex Fridman Podcast _227","4.88486","10378","187484"
"Sergey Levine_ Robotics and Machine Learning _ Lex Fridman Podcast _108","4.9209924","5850","71767"
"Jeff Hawkins_ The Thousand Brains Theory of Intelligence _ Lex Fridman Podcast _208","4.9011946","8309","124437"
"Bret Weinstein_ Truth_ Science_ and Censorship in the Time of a Pandemic _ Lex Fridman Podcast _194","4.7735457","11829","1799159"
"Lisa Feldman Barrett_ Counterintuitive Ideas About How the Brain Works _ Lex Fridman Podcast _129","4.8566484","8417","227593"
"Jaron Lanier_ Virtual Reality_ Social Media _ the Future of Humans and AI _ Lex Fridman Podcast _218","4.87745","6749","351233"
"Daphne Koller_ Biomedicine and Machine Learning _ Lex Fridman Podcast _93","4.936139","4323","77478"
"Colin Angle_ iRobot CEO _ Lex Fridman Podcast _39","4.938619","2258","23364"
"Peter Singer_ Suffering in Humans_ Animals_ and AI _ Lex Fridman Podcast _107","4.7959733","4154","66103"
"Eric Weinstein_ Difficult Conversations_ Freedom of Speech_ and Physics _ Lex Fridman Podcast _163","4.822542","9520","1005303"
"David Eagleman_ Neuroplasticity and the Livewired Brain _ Lex Fridman Podcast _119","4.927582","6084","125534"
"Donald Knuth_ Programming_ Algorithms_ Hard Problems _ the Game of Life _ Lex Fridman Podcast _219","4.9443803","8487","130787"
"David Chalmers_ The Hard Problem of Consciousness _ Lex Fridman Podcast _69","4.865991","5928","267885"
"Joscha Bach_ Nature of Reality_ Dreams_ and Consciousness _ Lex Fridman Podcast _212","4.856605","11541","467676"
"Anya Fernald_ Regenerative Farming and the Art of Cooking Meat _ Lex Fridman Podcast _203","4.8417063","6294","117884"
"Bryan Johnson_ Kernel Brain_Computer Interfaces _ Lex Fridman Podcast _186","4.917283","9090","162054"
"Sara Seager_ Search for Planets and Life Outside Our Solar System _ Lex Fridman Podcast _116","4.871578","6095","357628"
"Anthony Pompliano_ Bitcoin _ Lex Fridman Podcast _171","4.858142","10936","375006"
"Clara Sousa_Silva_ Searching for Signs of Life on Venus and Other Planets _ Lex Fridman Podcast _195","4.8595395","7092","230228"
"Ronald Sullivan_ The Ideal of Justice in the Face of Controversy and Evil _ Lex Fridman Podcast _170","4.8231654","6217","173671"
"Grant Sanderson_ 3Blue1Brown and the Beauty of Mathematics _ Lex Fridman Podcast _64","4.961302","3765","272797"
"Lex Fridman_ Ask Me Anything _ AMA January 2021 _ Lex Fridman Podcast","4.9332147","4398","186013"
"Greg Brockman_ OpenAI and AGI _ Lex Fridman Podcast _17","4.8775954","5107","67893"
"Tyler Cowen_ Economic Growth _ the Fight Against Conformity _ Mediocrity _ Lex Fridman Podcast _174","4.8558025","7798","149405"
"Georges St_Pierre_ The Science of Fighting _ Lex Fridman Podcast _179","4.9214716","9789","648717"
"Dawn Song_ Adversarial Machine Learning and Computer Security _ Lex Fridman Podcast _95","4.876923","7956","51076"
"Whitney Cummings_ Comedy_ Robotics_ Neurology_ and Love _ Lex Fridman Podcast _55","4.6593204","4618","309643"
"Vincent Racaniello_ Viruses and Vaccines _ Lex Fridman Podcast _216","4.8733263","12520","409847"
"Stephen Schwarzman_ Going Big in Business_ Investing_ and AI _ Lex Fridman Podcast _96","4.8528895","4216","70827"
